Timestamp;DateTime;Pirog17-cr1_ae0.1117(AS204272 Asarta-bg1)_tx;Pirog17-cr1_ae0.1117(AS204272 Asarta-bg1)_rx;Pirog17-cr1_ae0.1118(AS204272 Asarta-bg2)_tx;Pirog17-cr1_ae0.1118(AS204272 Asarta-bg2)_rx;Aggregated_tx;Aggregated_rx
1635886800;2021-11-03 00:00;1734550336;258072072;1730423056;256363544;3464973392;514435616
1635886860;2021-11-03 00:01;1678267896;242218456;1927587880;279759440;3605855776;521977896
1635886920;2021-11-03 00:02;1575465096;243284768;1948117776;263940704;3523582872;507225472
1635886980;2021-11-03 00:03;1589256296;249272960;1928714752;243228544;3517971048;492501504
1635887040;2021-11-03 00:04;1617279232;275124056;2024861240;227482192;3642140472;502606248
1635887100;2021-11-03 00:05;1570736888;246166088;2058404288;246001280;3629141176;492167368
1635887160;2021-11-03 00:06;1696765672;261201640;1991119664;243004216;3687885336;504205856
1635887220;2021-11-03 00:07;1607300856;265776872;1886953104;231874576;3494253960;497651448
1635887280;2021-11-03 00:08;1743959992;264332984;1800244968;205587272;3544204960;469920256
1635887340;2021-11-03 00:09;1685714872;246119200;1871051984;230695368;3556766856;476814568
1635887400;2021-11-03 00:10;1622200424;252135320;1883601856;255223992;3505802280;507359312
1635887460;2021-11-03 00:11;1587812600;199424328;1736576160;248437256;3324388760;447861584
1635887520;2021-11-03 00:12;1631901680;217400592;1696044288;229466720;3327945968;446867312
1635887580;2021-11-03 00:13;1582001744;218819224;1638995856;215422616;3220997600;434241840
1635887640;2021-11-03 00:14;1476926320;221881960;1596561936;223136056;3073488256;445018016
1635887700;2021-11-03 00:15;1577502128;239021928;1678491440;233955976;3255993568;472977904
1635887760;2021-11-03 00:16;1590097616;244965464;1606315728;206755624;3196413344;451721088
1635887820;2021-11-03 00:17;1596991640;238062208;1703037184;207744360;3300028824;445806568
1635887880;2021-11-03 00:18;1620473096;269054136;1640796824;233670264;3261269920;502724400
1635887940;2021-11-03 00:19;1585322864;263140088;1567040248;189993688;3152363112;453133776
1635888000;2021-11-03 00:20;1517918480;266071296;1834307352;210742216;3352225832;476813512
1635888060;2021-11-03 00:21;1531231504;238782816;1729440816;207544168;3260672320;446326984
1635888120;2021-11-03 00:22;1619856320;243360312;1672954720;217398728;3292811040;460759040
1635888180;2021-11-03 00:23;1664649216;266195192;1651957680;243033920;3316606896;509229112
1635888240;2021-11-03 00:24;1620851816;250004728;1577017640;223858384;3197869456;473863112
1635888300;2021-11-03 00:25;1493657848;239740896;1733255456;214868464;3226913304;454609360
1635888360;2021-11-03 00:26;1562246544;234142960;1790379408;219039112;3352625952;453182072
