Timestamp;DateTime;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_tx;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_rx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_tx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_rx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_tx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_rx;Aggregated_tx;Aggregated_rx
1638306000;2021-12-01 00:00;157170512;152518904;61551584;291003096;50178008;462255408;268900104;905777408
1638306060;2021-12-01 00:01;213362208;193897864;64009800;292841752;47294512;375433104;324666520;862172720
1638306120;2021-12-01 00:02;156938648;185274888;45513672;277580512;33605056;398333776;236057376;861189176
1638306180;2021-12-01 00:03;165632896;245875440;65322576;293424520;39965568;403593056;270921040;942893016
1638306240;2021-12-01 00:04;161192888;180271184;74950800;273648120;48012080;373779696;284155768;827699000
1638306300;2021-12-01 00:05;164276608;165666784;90570040;280911424;45742544;366417048;300589192;812995256
1638306360;2021-12-01 00:06;175406384;185199032;72757864;260170072;49935680;352007440;298099928;797376544
1638306420;2021-12-01 00:07;163653680;186519192;83221064;278078552;44592040;342969984;291466784;807567728
1638306480;2021-12-01 00:08;194184464;163051304;128757952;277003872;38804648;365465056;361747064;805520232
1638306540;2021-12-01 00:09;149186128;194000312;149053376;318126264;33153744;378618376;331393248;890744952
1638306600;2021-12-01 00:10;155032560;197870728;149141360;279204904;45161048;366278384;349334968;843354016
1638306660;2021-12-01 00:11;152593552;204743344;57850480;323438168;147371568;342347976;357815600;870529488
1638306720;2021-12-01 00:12;159003528;231237432;10845240;342198696;164810880;328194032;334659648;901630160
1638306780;2021-12-01 00:13;170189704;222171376;10206312;321024536;131040480;330016736;311436496;873212648
1638306840;2021-12-01 00:14;145610128;179960744;9858128;328119760;38512224;357341512;193980480;865422016
1638306900;2021-12-01 00:15;139571512;171904448;11100720;348410736;38117680;354759504;188789912;875074688
1638306960;2021-12-01 00:16;188280312;202020720;10417544;435889472;56169728;287336944;254867584;925247136
1638307020;2021-12-01 00:17;164664448;225601384;11664160;444432272;39301240;248073240;215629848;918106896
1638307080;2021-12-01 00:18;168218448;188823672;14680928;506460216;43353312;247964344;226252688;943248232
1638307140;2021-12-01 00:19;169569568;200602120;13781272;493574008;38177136;247674128;221527976;941850256
1638307200;2021-12-01 00:20;164020032;184064832;12625528;551058704;44056224;207838648;220701784;942962184
1638307260;2021-12-01 00:21;164752504;217960416;11772776;558634496;36180368;201418432;212705648;978013344
1638307320;2021-12-01 00:22;158675096;209033384;11908384;515498424;38196512;218498856;208779992;943030664
1638307380;2021-12-01 00:23;160541280;191989944;12436920;613457912;50828544;221858304;223806744;1027306160
1638307440;2021-12-01 00:24;142734792;261468064;12262560;438262392;55607888;295410072;210605240;995140528
1638307500;2021-12-01 00:25;123971384;186113136;17722232;329525720;60651704;354058056;202345320;869696912
1638307560;2021-12-01 00:26;145899056;200935296;19866040;354927568;79829344;332403704;245594440;888266568
1638307620;2021-12-01 00:27;150741752;150540360;91761272;329145544;68270112;370115456;310773136;849801360
1638307680;2021-12-01 00:28;153796792;144660352;115996544;309825160;49586592;353623464;319379928;808108976
1638307740;2021-12-01 00:29;172248200;135142312;84713064;314409016;60778096;419477184;317739360;869028512
1638307800;2021-12-01 00:30;187493176;166158736;60964872;314715080;44784664;393179136;293242712;874052952
1638307860;2021-12-01 00:31;167513824;242847024;91420624;312015056;53118144;427763952;312052592;982626032
1638307920;2021-12-01 00:32;161532296;228358184;79552616;326975952;57177136;366963232;298262048;922297368
1638307980;2021-12-01 00:33;149553072;176179240;80992744;391345432;48517184;339416216;279063000;906940888
1638308040;2021-12-01 00:34;118985264;155244232;87833704;441961104;38183344;256059016;245002312;853264352
1638308100;2021-12-01 00:35;117672112;144314336;104966888;417806960;48863552;249816384;271502552;811937680
1638308160;2021-12-01 00:36;149968896;163305888;66644632;452008528;54260560;249771344;270874088;865085760
1638308220;2021-12-01 00:37;139494800;181886120;91942904;424332088;44121696;237384832;275559400;843603040
1638308280;2021-12-01 00:38;139446048;164064360;83199528;350610040;47727792;268943248;270373368;783617648
1638308340;2021-12-01 00:39;125679432;177126928;106408816;286659600;53830472;378826488;285918720;842613016
1638308400;2021-12-01 00:40;121154840;150395032;112608320;287345824;58945160;354123880;292708320;791864736
1638308460;2021-12-01 00:41;129126376;146098800;94777400;323218408;67567064;381305320;291470840;850622528
1638308520;2021-12-01 00:42;125016176;168633448;94603944;338488944;46480200;384895984;266100320;892018376
1638308580;2021-12-01 00:43;316853280;155831904;89477488;472158328;46166656;254705608;452497424;882695840
1638308640;2021-12-01 00:44;260701208;155277152;125966104;484526328;69477168;256852328;456144480;896655808
1638308700;2021-12-01 00:45;274439616;146433728;82825048;556790144;70457096;212420168;427721760;915644040
1638308760;2021-12-01 00:46;152543936;162486920;96714120;490406984;52554752;223212088;301812808;876105992
1638308820;2021-12-01 00:47;126304184;198847048;79073032;507330632;29749840;205995600;235127056;912173280
1638308880;2021-12-01 00:48;137281496;150184376;120341720;471819160;47460152;216670560;305083368;838674096
1638308940;2021-12-01 00:49;152142136;191593040;82761344;441165608;50338904;243147112;285242384;875905760
1638309000;2021-12-01 00:50;133091704;159306424;118288912;451289048;74811576;209210256;326192192;819805728
1638309060;2021-12-01 00:51;150132344;156652832;117087944;392846032;44735696;280658696;311955984;830157560
1638309120;2021-12-01 00:52;148142096;133523544;104709336;331846576;32663128;397708232;285514560;863078352
1638309180;2021-12-01 00:53;138655552;130580744;69116088;303558344;48077760;411056008;255849400;845195096
1638309240;2021-12-01 00:54;146183416;142051928;88769288;323222840;50775184;358823824;285727888;824098592
