Timestamp;DateTime;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_tx;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_rx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_tx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_rx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_tx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_rx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_tx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_rx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_tx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_rx;Aggregated_tx;Aggregated_rx
1635973200;2021-11-04 00:00;119222096;181882816;0;0;0;0;305487832;467690144;120872504;242282600;545582432;891855560
1635973260;2021-11-04 00:01;136608928;171879776;0;0;0;0;352394256;463794200;123843424;295826040;612846608;931500016
1635973320;2021-11-04 00:02;112728184;167814896;0;0;0;0;333451560;435360784;126338336;252869112;572518080;856044792
1635973380;2021-11-04 00:03;127391552;137426568;0;0;0;0;353868664;460535080;130586808;281516968;611847024;879478616
1635973440;2021-11-04 00:04;120026696;164550056;0;0;0;0;365817264;391728416;144197584;296336360;630041544;852614832
1635973500;2021-11-04 00:05;123848936;151673096;0;0;0;0;363158000;396824064;129522408;252319640;616529344;800816800
1635973560;2021-11-04 00:06;122559224;141351040;0;0;0;0;419888392;392902824;78823320;241267040;621270936;775520904
1635973620;2021-11-04 00:07;145735744;143730112;0;0;0;0;435824608;450797328;68237824;265979104;649798176;860506544
1635973680;2021-11-04 00:08;102779872;165135920;0;0;0;0;421718392;407104472;73620512;222341104;598118776;794581496
1635973740;2021-11-04 00:09;118358632;132700160;0;0;0;0;405333000;368879936;66934400;222235176;590626032;723815272
1635973800;2021-11-04 00:10;147551680;137700048;0;0;0;0;390178032;212522728;60117016;334322088;597846728;684544864
1635973860;2021-11-04 00:11;123723544;141991336;0;0;0;0;423539480;242132472;73249304;316466280;620512328;700590088
1635973920;2021-11-04 00:12;114290256;123858968;0;0;0;0;402116512;292688920;69893024;339667320;586299792;756215208
1635973980;2021-11-04 00:13;113868936;126460008;0;0;0;0;389717632;209286744;73144904;337116832;576731472;672863584
1635974040;2021-11-04 00:14;112423856;125870160;0;0;0;0;416091784;221459920;70328944;341602136;598844584;688932216
1635974100;2021-11-04 00:15;100916832;140686272;0;0;0;0;358519464;245729080;72776680;332906992;532212976;719322344
1635974160;2021-11-04 00:16;115828448;125476888;0;0;0;0;413184920;252227552;70341432;352874496;599354800;730578936
1635974220;2021-11-04 00:17;120635656;145410048;0;0;0;0;394488408;260721312;72252088;407164408;587376152;813295768
1635974280;2021-11-04 00:18;118112936;129063744;0;0;0;0;350655448;230501864;60624952;387585160;529393336;747150768
1635974340;2021-11-04 00:19;103740112;115737008;0;0;0;0;373860384;254714632;51892600;281922096;529493096;652373736
1635974400;2021-11-04 00:20;118854000;110817616;0;0;0;0;329828312;344713840;58961384;222819112;507643696;678350568
1635974460;2021-11-04 00:21;87312552;100086592;0;0;0;0;340224248;261814264;43265232;305889120;470802032;667789976
1635974520;2021-11-04 00:22;103353056;129773960;0;0;0;0;284760352;222860440;32664744;340954496;420778152;693588896
