Timestamp;DateTime;Pirog17-cr1_ae0.94(AS209445 Telecom5)_tx;Pirog17-cr1_ae0.94(AS209445 Telecom5)_rx;Aggregated_tx;Aggregated_rx
1636578000;2021-11-11 00:00;35906704;60194520;35906704;60194520
1636578060;2021-11-11 00:01;121103544;64628512;121103544;64628512
1636578120;2021-11-11 00:02;105610904;69575352;105610904;69575352
1636578180;2021-11-11 00:03;103952376;60725840;103952376;60725840
1636578240;2021-11-11 00:04;104842104;62106824;104842104;62106824
1636578300;2021-11-11 00:05;93971456;58290440;93971456;58290440
1636578360;2021-11-11 00:06;111547496;102878376;111547496;102878376
1636578420;2021-11-11 00:07;110365704;117160352;110365704;117160352
1636578480;2021-11-11 00:08;104551512;123002272;104551512;123002272
1636578540;2021-11-11 00:09;108115376;115607976;108115376;115607976
1636578600;2021-11-11 00:10;104792520;127688088;104792520;127688088
1636578660;2021-11-11 00:11;102378264;131026896;102378264;131026896
1636578720;2021-11-11 00:12;83417144;138538952;83417144;138538952
1636578780;2021-11-11 00:13;37520568;110806488;37520568;110806488
1636578840;2021-11-11 00:14;38335616;102283880;38335616;102283880
1636578900;2021-11-11 00:15;40425648;102651016;40425648;102651016
1636578960;2021-11-11 00:16;39240920;102869848;39240920;102869848
1636579020;2021-11-11 00:17;35335848;90796256;35335848;90796256
1636579080;2021-11-11 00:18;35537448;77568416;35537448;77568416
1636579140;2021-11-11 00:19;32272720;59485760;32272720;59485760
1636579200;2021-11-11 00:20;37061136;70479408;37061136;70479408
1636579260;2021-11-11 00:21;44934224;69290536;44934224;69290536
1636579320;2021-11-11 00:22;38168640;69843056;38168640;69843056
1636579380;2021-11-11 00:23;34299424;65721376;34299424;65721376
1636579440;2021-11-11 00:24;40494912;98985224;40494912;98985224
1636579500;2021-11-11 00:25;36560816;94630208;36560816;94630208
1636579560;2021-11-11 00:26;48366784;69261456;48366784;69261456
1636579620;2021-11-11 00:27;44980568;62788360;44980568;62788360
1636579680;2021-11-11 00:28;34208664;70596312;34208664;70596312
1636579740;2021-11-11 00:29;32251472;63380064;32251472;63380064
1636579800;2021-11-11 00:30;37192800;81530984;37192800;81530984
